applicant_id,latest_score,earliest_score,score_delta,score_volatility,pull_count,pull_freq_30d,pull_freq_90d,days_since_first_pull,days_since_last_pull,lender_diversity,multi_lender_flag,thin_file_flag,avg_delinquencies,avg_enquiries,avg_utilization,first_pull_date,last_pull_date,risk_cohort,activation_score,blind_spot_flag
000054db-0d72-4ea9-b11a-e6f8da48b4f0,498,483,15,7.5,2,0,0,250,248,2,0,1,1.0,8.0,0.9694,2024-04-26,2024-04-28,E_ThinFile,0.0481,1
0005d864-44db-42a6-abde-bbf3ac5ff69b,785,706,79,36.2,4,0,0,717,682,4,1,0,0.0,12.25,0.5842,2023-01-15,2023-02-19,A_PrimeStable,0.1743,0
000b5fba-ceaf-4e40-b8c8-19c4ea7d9133,668,676,-8,4.64,3,0,0,268,235,3,1,0,0.0,6.33,0.4552,2024-04-08,2024-05-11,C_NearPrime,0.0674,0
00150506-9cb7-4683-8371-b6b2e5a15173,707,707,0,0.0,1,0,0,682,682,1,0,1,0.0,8.0,0.6461,2023-02-19,2023-02-19,E_ThinFile,0.0,0
00150a40-9699-49a4-90d8-fa6d252237b6,602,602,0,0.0,1,0,0,595,595,1,0,1,0.0,1.0,0.6349,2023-05-17,2023-05-17,E_ThinFile,0.0001,0
0015e9ab-0750-48a2-9367-792f16a6dad6,650,650,0,0.0,1,0,0,644,644,1,0,0,0.0,2.0,0.6464,2023-03-29,2023-03-29,C_NearPrime,0.0,0
001e96f2-4553-44c0-8283-abd9bbc30e1c,726,682,44,16.04,4,0,0,415,374,4,1,0,0.0,8.75,0.6762,2023-11-13,2023-12-24,B_PrimeActive,0.1417,0
002315b3-4b64-4725-9c22-439c9ddafac3,616,644,-28,11.58,6,0,0,598,564,6,1,1,0.0,10.33,0.5233,2023-05-14,2023-06-17,E_ThinFile,0.1668,0
0027d06c-0250-415e-990f-8cc3b00df799,856,845,11,6.28,5,0,0,325,300,5,1,1,0.0,7.8,0.0829,2024-02-11,2024-03-07,E_ThinFile,0.1442,0
002dc614-8a3a-4c47-a569-e756aca5386a,690,700,-10,3.88,5,0,0,462,430,5,1,1,0.0,7.8,0.4661,2023-09-27,2023-10-29,E_ThinFile,0.1336,0
003502d7-d4bb-40f0-bb91-6f9238379b16,838,885,-47,19.94,3,0,0,352,348,3,1,0,0.0,8.67,0.2412,2024-01-15,2024-01-19,A_PrimeStable,0.067,0
0039a8df-f7ef-4cad-9cdf-b3aae3b0cdf4,753,753,0,0.0,1,0,0,662,662,1,0,0,0.0,2.0,0.3028,2023-03-11,2023-03-11,A_PrimeStable,0.0,0
003c22ff-4d81-4dd7-ae49-69ef01ea4dae,634,634,0,0.0,1,0,0,593,593,1,0,0,1.0,6.0,0.5443,2023-05-19,2023-05-19,C_NearPrime,0.0001,0
00476db5-a779-4eb1-8c7a-34b2b6df4d7c,605,613,-8,4.87,4,0,0,242,209,4,1,1,0.0,10.5,0.8179,2024-05-04,2024-06-06,E_ThinFile,0.1009,0
004a4af4-2de0-47aa-9679-e55b70a2a084,565,558,7,3.5,2,0,2,73,65,2,0,0,0.0,10.5,0.7804,2024-10-20,2024-10-28,D_Subprime,0.1059,0
004b193b-bcad-4bd3-b76b-83e49d9deb8c,857,794,63,27.67,5,0,0,290,250,5,1,0,0.0,6.0,0.1837,2024-03-17,2024-04-26,A_PrimeStable,0.1932,0
004d18eb-294a-47ef-9ebb-0f75bc0372c8,693,676,17,8.5,2,0,0,492,459,2,0,0,0.0,5.0,0.3344,2023-08-28,2023-09-30,C_NearPrime,0.0495,1
004f55bd-3398-442b-933d-4a976493dc12,531,531,0,0.0,1,0,0,214,214,1,0,0,0.0,2.0,0.6092,2024-06-01,2024-06-01,D_Subprime,0.0008,0
004f9b99-4d8a-4624-a1a5-6fc9440232d8,592,592,0,2.36,3,0,0,562,556,3,1,0,0.0,10.33,0.7474,2023-06-19,2023-06-25,D_Subprime,0.0668,0
00509eb3-25c9-4be9-8b0b-4b0aeb9657b6,617,617,0,0.0,1,0,1,43,43,1,0,0,0.0,14.0,0.6852,2024-11-19,2024-11-19,C_NearPrime,0.0366,0
005a52b5-b91d-4fcd-9415-bdfe07b1a6df,665,643,22,8.61,4,0,0,498,465,4,1,0,0.0,7.5,0.6704,2023-08-22,2023-09-24,C_NearPrime,0.1209,1
005b0d82-afa2-4248-8abd-856f529b046f,734,733,1,0.5,2,0,0,248,240,2,0,0,0.0,8.5,0.6678,2024-04-28,2024-05-06,A_PrimeStable,0.035,0
005b4fd7-adc0-43a6-9333-734b3891b883,646,577,69,25.95,4,0,4,70,50,4,1,1,0.0,4.75,0.5489,2024-10-23,2024-11-12,E_ThinFile,0.2945,1
005cd85c-8df2-4a31-815d-2ed4fb292e1b,450,450,0,0.0,1,0,0,486,486,1,0,0,0.0,12.0,0.657,2023-09-03,2023-09-03,D_Subprime,0.0002,0
005d9927-6db3-40a3-a0ba-8f9d4986f7a4,723,723,0,0.0,1,0,1,63,63,1,0,0,0.0,14.0,0.2722,2024-10-30,2024-10-30,A_PrimeStable,0.0348,0
0067d849-5dc9-4df7-87c3-a99bb48abba1,687,697,-10,4.62,5,0,0,566,560,5,1,0,0.0,7.8,0.4587,2023-06-15,2023-06-21,C_NearPrime,0.1334,0
0068bfa5-87e7-4e2f-9f85-397495fd4f11,899,899,0,0.0,1,0,1,31,31,1,0,0,0.0,7.0,0.518,2024-12-01,2024-12-01,A_PrimeStable,0.0387,0
00694b84-28d2-4ec5-9271-e04f72bc642a,729,658,71,28.02,4,0,0,225,168,4,1,0,0.0,9.25,0.404,2024-05-21,2024-07-17,B_PrimeActive,0.1679,0
006ab127-fddc-4c63-ace9-4c6a157e29fb,554,526,28,11.71,4,0,0,449,412,4,1,0,0.0,5.75,0.5235,2023-10-10,2023-11-16,D_Subprime,0.1266,1
006ed732-23ea-4ec0-89c9-f88587a46c83,760,764,-4,2.0,2,0,0,177,164,2,0,0,0.0,12.0,0.2125,2024-07-08,2024-07-21,A_PrimeStable,0.0345,0
006f3a54-2fe4-40a3-aaba-01935a55e40e,704,690,14,6.1,4,0,4,89,37,4,1,0,0.0,6.75,0.345,2024-10-04,2024-11-25,B_PrimeActive,0.2444,0
006fbb80-5dde-48b6-9c3f-e9e158427097,767,775,-8,4.64,3,0,0,220,182,3,1,0,0.0,5.67,0.3669,2024-05-26,2024-07-03,A_PrimeStable,0.0677,0
00782ba7-7620-4113-bfbf-2cef981171c3,522,504,18,7.72,3,0,0,427,422,3,1,1,0.0,10.0,0.6811,2023-11-01,2023-11-06,E_ThinFile,0.0838,1
00847392-bbba-41e0-88a5-6fc779bbb6c3,716,739,-23,9.79,5,0,0,613,592,5,1,0,0.0,9.0,0.3447,2023-04-29,2023-05-20,B_PrimeActive,0.1334,0
008a9d94-8deb-4cda-888b-4687cf660794,680,677,3,1.5,2,0,0,658,652,2,0,0,0.0,7.0,0.6075,2023-03-15,2023-03-21,C_NearPrime,0.0362,0
008df39d-dac9-4f38-8ff4-59e5a153d081,770,769,1,4.49,4,0,2,101,69,4,1,0,0.0,7.5,0.1538,2024-09-22,2024-10-24,A_PrimeStable,0.1667,0
00998731-d5c3-4050-9844-58a1ece189e0,592,592,0,0.0,1,0,0,139,139,1,0,0,0.0,10.0,0.6831,2024-08-15,2024-08-15,D_Subprime,0.0014,0
009c6e23-c330-4309-9252-fcf3d78aed73,671,691,-20,7.18,4,0,0,589,567,4,1,1,0.0,9.0,0.648,2023-05-23,2023-06-14,E_ThinFile,0.1001,0
009fdb9f-a2bc-495a-8a6c-f41c4ca14629,664,664,0,0.0,1,0,0,574,574,1,0,0,1.0,4.0,0.497,2023-06-07,2023-06-07,C_NearPrime,0.0001,0
00a10601-b499-409c-be5b-7b0ede4d2877,558,551,7,2.87,3,0,0,727,702,3,1,0,1.0,7.33,0.8706,2023-01-05,2023-01-30,D_Subprime,0.0733,0
